Citizen_ID,Area_Sector,Issue_Type,Complaint_Text,Severity_Level,Reported_Time,Resolution_Time_Hours,Assigned_Department,Satisfaction_Rating,Followup_Required,Latitude,Longitude,AI_Priority_Score
C1019,C2,Pothl,Kid skin good where security start make major least recent prepare goal debate ten into case.,Lo,10-03-2025 01:12,98,Watr Dept,2,Yes,19.063154,72.978859,0.64
C1020,C1,Pothl,End team entire save financial prepare one crime culture help system somebody.,Med,29-11-2025 02:35,114,SmartWifiDept,1,Yes,19.234429,73.014186,0.57
C1021,B2,Pothl,Control surface fight camera couple record product smile why resource game behind participant.,Lo,14-01-2025 11:24,73,Elect Dept,3,Yes,19.170677,72.811869,0.65
C1022,C1,Watr,Within same western weight attention bad after blood leg recently watch opportunity hit however different war.,Hi,01-05-2025 06:24,29,Elect Dept,5,No,19.183299,72.871031,0.89
C1023,B1,Stret Light,Live movie while whom force human then behavior subject important hear.,Lo,02-02-2025 16:29,5,Watr Dept,1,Yes,19.127339,73.036113,0.17
C1024,B1,Watr,Throughout black difference finish fly perform pretty response peace local believe forget question teacher.,Lo,29-06-2025 03:39,72,Elect Dept,1,Yes,19.285368,72.916041,0.62
C1025,B2,Garbge,Parent party build article war former leg order southern.,Med,25-04-2025 12:37,61,Elect Dept,1,No,19.262504,73.021789,0.29
C1026,D2,Stret Light,Identify movie national sense financial movement phone.,Hi,04-02-2025 03:36,71,Watr Dept,4,No,19.056331,72.890363,0.67
C1027,B2,Garbge,Test area system sport we effort sit TV imagine.,Lo,17-02-2025 02:34,,SmartWifiDept,1,Yes,19.025579,72.866445,0.22
C1028,B2,Trafic,Student let entire when data garden stand than program too view public.,Med,24-02-2025 13:40,999,Road Dept,5,No,19.045086,72.801223,0.98
C1029,D2,Pothl,Ago town state body reduce even according position according.,Lo,06-07-2025 00:59,100,Clean Dept,2,Yes,19.228095,72.982207,0.43
C1030,D1,Pothl,There when effort agency billion anything animal sign against culture college really several economy remain.,Lo,08-03-2025 05:02,54,SmartWifiDept,2,Yes,19.096231,73.05497,0.63
C1031,A1,Watr,Start scientist reason knowledge fast soon direction.,Lo,08-06-2025 10:19,98,SmartWifiDept,1,No,19.075595,72.894607,0.56
C1032,B1,Trafic,Smile character until economic recently space leg film door everybody federal middle.,Critcal,08-06-2025 23:12,,SmartWifiDept,2,Yes,19.171493,72.809249,0.93
C1033,B2,Watr,Agree beat allow rather should weight soldier statement news lawyer natural sure whole lose.,Hi,28-10-2025 15:42,48,Clean Dept,2,Yes,19.291854,72.916737,0.73
C1034,B2,Watr,Decide range see could event respond law way former either indeed real.,Critcal,13-04-2025 19:38,64,,3,Yes,19.000494,72.942789,0.82
C1035,A2,Garbge,Already continue sing only sometimes worry meeting country seek human worker official professional.,Hi,03-10-2025 00:42,44,Clean Dept,1,No,19.123256,72.81481,0.23
C1036,A1,Garbge,Audience ball rule in follow maintain gas often investment thousand make peace because add across.,Med,17-08-2025 17:56,63,Watr Dept,2,Yes,19.154376,73.050255,0.7
C1037,A1,Stret Light,Special suffer play later against describe address stock detail cold him report voice.,Hi,16-01-2025 20:19,2,Elect Dept,4,No,19.028362,73.010579,0.62
C1038,D2,Pollutn,Shake usually night agent may field writer style his body else kid choice music.,Med,11-02-2025 09:51,23,SmartWifiDept,1,Yes,19.168266,72.805545,0.45
C1039,C2,WiFiIssu,Agency long professional enough carry that recently leader upon choice experience.,Med,01-02-2025 10:10,84,Road Dept,1,Yes,19.006004,73.008434,0.48
C1040,C1,Pothl,Well former gun strategy certainly source majority last along.,Med,15-08-2025 02:35,53,Clean Dept,3,Yes,19.228131,72.881136,0.45
C1041,D2,Pothl,Forget long role decade method sound prevent camera occur could stop.,Hi,21-09-2025 16:11,38,Clean Dept,3,No,19.231415,72.856775,0.46
C1042,A1,Trafic,Wall change probably likely these yard through realize bit until visit.,Critcal,09-06-2025 17:44,101,Road Dept,2,Yes,19.149225,73.012114,0.51
C1043,D2,Watr,Power population fill peace myself everything whom which life.,Critcal,14-01-2025 10:20,49,,4,No,19.241505,72.800127,0.87
C1044,D1,Pothl,Down eye receive offer near remember study affect.,Critcal,14-10-2025 23:18,114,Elect Dept,4,Yes,19.085371,72.961479,0.66
C1045,B1,Garbge,North woman whole participant commercial its author sit and who protect husband market democratic.,Hi,04-10-2025 17:00,105,Elect Dept,,Yes,19.002198,73.098992,0.18
C1046,B2,Trafic,Like feeling trip upon history watch seem majority research case pick fast newspaper throughout movie.,Lo,15-10-2025 01:14,98,Road Dept,4,Yes,19.133185,72.92101,0.3
C1047,A1,Pothl,Approach artist back gun blood college know senior.,Hi,21-06-2025 06:54,999,,3,No,19.221227,73.09611,0.8
C1048,A1,Pollutn,Itself simple class receive finish law among.,Med,28-04-2025 22:08,110,,1,No,19.129781,73.009313,0.77
C1049,C1,Pothl,Simple realize experience speak across safe former chair toward hotel approach kind sing point wall really.,Hi,05-02-2025 09:15,58,Clean Dept,3,No,19.02723,73.010249,0.39
C1050,B1,Watr,Adult story public threat team will big real require soon yourself later toward board people.,Hi,11-06-2025 00:09,,Clean Dept,3,No,19.063918,73.026694,0.09
C1051,D2,Trafic,Something western if hand there eat theory.,Critcal,14-01-2025 06:12,51,Clean Dept,,Yes,19.104195,72.818869,0.9
C1052,D1,Garbge,At choice she large office huge six feeling much specific worker pick try health.,Critcal,01-05-2025 22:08,59,Road Dept,2,No,19.134789,72.93591,0.85
C1053,A2,Pothl,Also forward sell community describe where red voice.,Lo,01-11-2025 22:53,12,Elect Dept,2,No,19.291133,73.046694,0.85
C1054,D2,Watr,Able star line meet research establish cause line he specific.,Med,04-02-2025 19:34,104,Watr Dept,5,Yes,19.058611,73.061307,0.76
C1055,D1,Pollutn,Ability education within indeed evidence chance listen society chair simple try realize table left.,Lo,24-07-2025 20:23,30,Watr Dept,3,Yes,19.147495,72.822433,0.13
C1056,C1,Pollutn,Tonight control already president soon wind somebody difference cup.,Critcal,06-04-2025 03:54,89,Clean Dept,,No,19.100166,72.889237,0.61
C1057,A2,Trafic,Upon second win staff newspaper avoid only evening authority federal.,Critcal,21-06-2025 00:29,61,Road Dept,5,No,19.071972,73.077162,0.75
C1058,D1,Pollutn,Enough can public friend son compare low history listen fish operation room relate charge conference.,,18-10-2025 19:59,21,Road Dept,2,No,19.262792,72.930024,0.86
C1059,A2,Pothl,Heavy trouble state actually behavior section despite should next recognize drug name.,Critcal,29-04-2025 04:36,98,Clean Dept,4,Yes,19.161403,72.898675,1
C1060,D1,Trafic,Model herself daughter teacher describe any bed often culture Mrs sound while type bad without.,Med,24-02-2025 14:37,115,SmartWifiDept,2,No,19.111704,73.088462,0.89
C1061,D2,Pothl,Product certain worker seven against fear dark pretty spend stock treat form.,Critcal,29-05-2025 07:22,84,Clean Dept,2,Yes,19.148884,72.958149,0.38
C1062,C2,Watr,Really either feel new fine yes condition answer debate bill after body site adult road statement.,,09-06-2025 21:24,47,Watr Dept,5,Yes,19.111797,72.962327,1
C1063,C1,Garbge,Laugh guy those dinner suggest training exist bad agency employee find.,Critcal,20-06-2025 13:37,46,Road Dept,3,Yes,19.154989,73.054544,0.21
C1064,A1,Pollutn,Image camera appear five manage mouth give also consider agreement.,Med,15-03-2025 07:52,19,SmartWifiDept,5,No,19.132679,72.85268,0.93
C1065,A2,Pollutn,As still officer understand especially kind get country within range when.,Critcal,18-07-2025 12:51,43,SmartWifiDept,1,No,19.018885,73.030329,0.91
C1066,A1,Garbge,Enough perhaps then fire TV history listen official per detail more pull general positive.,Hi,05-06-2025 12:43,10,Watr Dept,2,Yes,19.236138,73.024228,0.24
C1067,A1,Pothl,Congress season decide total make floor begin leader lot weight system.,Critcal,14-11-2025 02:58,,Elect Dept,2,No,19.02224,73.040634,0.41
C1068,B2,Pothl,Dog several action send recognize tell young experience last him keep.,Lo,16-06-2025 21:43,22,Clean Dept,2,No,19.031298,72.81416,0.3
C1069,A2,Trafic,Add role long society black hospital answer.,Hi,12-09-2025 01:19,5,SmartWifiDept,1,No,19.277363,73.013757,0.62
C1070,B1,WiFiIssu,Writer five exactly federal check PM drug source chair million pay contain model.,Hi,23-11-2025 03:01,60,SmartWifiDept,,Yes,19.005922,72.870185,0.59
C1071,D2,Trafic,Entire carry ask school once direction scene behavior west speech each be.,,18-11-2025 04:48,120,Elect Dept,1,No,19.013211,73.016837,0.8
C1072,B1,Garbge,Some develop particular respond project phone security since gas describe middle beat smile.,Med,21-06-2025 22:00,,Road Dept,2,Yes,19.260669,72.904448,0.07
C1073,A2,WiFiIssu,Join race today establish police central to if skill particularly war.,Med,15-01-2025 12:31,40,Road Dept,3,No,19.020052,72.955674,0.93
C1074,B1,Pothl,Rate pick race around door degree likely.,Med,29-03-2025 00:50,80,Watr Dept,2,Yes,19.198636,72.964651,0.48
C1075,D2,Garbge,Own member kitchen continue population small provide talk.,Critcal,11-05-2025 05:01,83,,5,No,19.219098,72.805892,0.8
C1076,C2,Trafic,Wall couple treatment rich act toward mother.,Critcal,30-01-2025 12:09,81,Clean Dept,2,Yes,19.257093,73.040799,0.68
C1077,D2,Garbge,Home trip available seat sometimes much of dinner doctor.,Hi,01-08-2025 20:19,81,Clean Dept,4,No,19.144299,72.875906,0.74
C1078,D2,Trafic,Take on kind could particularly peace reality box fear whatever art say represent pick detail.,Med,03-12-2025 20:05,97,Clean Dept,3,Yes,19.085021,73.043834,0.74
C1079,C2,Watr,Job free new industry interest hour adult myself water catch financial listen evening author kitchen.,Critcal,22-11-2025 10:06,17,Road Dept,4,No,19.005427,72.870859,0.46
C1080,B2,Garbge,Detail series after us any somebody apply specific.,Critcal,17-03-2025 19:45,15,Elect Dept,4,Yes,19.255828,72.844887,0.29
C1081,B1,Garbge,Determine general sort reality citizen court Republican that society son subject news best risk trouble price.,Critcal,27-08-2025 16:33,10,,4,Yes,19.000734,72.997682,0.7
C1082,A1,Garbge,Laugh official police behavior thank management create step edge learn.,Med,26-07-2025 07:41,92,,4,No,19.05573,72.869541,0.8
C1083,D1,Watr,House science face employee team life style.,Critcal,16-01-2025 10:50,102,Elect Dept,3,No,19.063552,72.914441,0.41
C1084,C1,Trafic,Company television government hot together organization great.,Lo,04-11-2025 10:29,118,Elect Dept,2,No,19.041452,72.880736,0.62
C1085,D1,Garbge,Race growth business themselves magazine wide never operation put with fine.,Lo,14-05-2025 16:51,115,,4,Yes,19.100882,72.970304,0.31
C1086,B2,Pollutn,Artist actually character agree commercial environment six create debate base certainly building suggest put lead wish.,Med,30-03-2025 21:19,11,,3,No,19.233467,73.081737,0.04
C1087,B1,Trafic,Day upon leader way place usually into different camera pass produce professional reduce entire.,Med,18-06-2025 13:52,14,SmartWifiDept,5,Yes,19.071474,73.093057,0.52
C1088,A1,Pothl,Run billion list member grow despite sign card benefit college college level water group.,Hi,11-10-2025 13:46,16,Watr Dept,1,No,19.154218,72.985486,0.06
C1089,B2,Trafic,Dinner pay fear black suddenly maintain pick nor voice.,Lo,07-11-2025 05:43,110,Watr Dept,,No,19.078005,73.027871,0
C1090,A1,Stret Light,Government provide later recognize understand audience decision although expect.,Lo,13-01-2025 06:15,13,Clean Dept,1,Yes,19.018994,72.925995,0.66
C1091,C2,Pothl,Station good between board least door start then get service turn third hope culture.,Med,14-01-2025 00:54,27,Elect Dept,1,No,19.272531,72.808498,0.07
C1092,A2,Trafic,Seem everybody interview fill sort bed very consider many type debate child make.,Lo,29-08-2025 07:41,41,SmartWifiDept,3,No,19.225627,72.986417,0.36
C1093,B2,Stret Light,Food stop product game future million mission somebody who across speak.,Lo,04-06-2025 17:48,98,Watr Dept,3,No,19.256554,73.062736,0.19
C1094,B2,Stret Light,Street oil weight general new past should morning.,Med,08-08-2025 12:00,11,Watr Dept,5,Yes,19.160974,72.88176,0.24
C1095,B1,Trafic,Challenge feel again design part positive certain.,Critcal,15-08-2025 09:19,97,Clean Dept,1,Yes,19.014708,72.879383,0.46
C1096,C1,Pollutn,Thought town early later season risk whom director sister food too gun open reflect those identify.,,22-07-2025 19:09,68,Clean Dept,5,No,19.174557,73.04668,0.99
C1097,A1,WiFiIssu,Avoid step especially out surface give compare very.,Hi,31-01-2025 19:49,35,Road Dept,5,Yes,19.25632,72.808317,0.52
C1098,C2,Garbge,Reduce throughout Mrs interest keep adult be guy voice result light size recognize world necessary.,Lo,07-10-2025 23:36,13,Clean Dept,2,No,19.218433,72.965735,0.98
C1099,B1,Pothl,Speech center computer director no old today student.,Hi,13-01-2025 12:14,32,,5,No,19.247729,72.823432,0.49
C1100,D2,Pollutn,Food area could attorney body such smile administration.,,06-01-2025 21:45,32,Watr Dept,2,No,19.009584,72.907417,0.9
C1101,C1,Garbge,Decide approach deal white recognize suddenly picture finally over.,Lo,17-10-2025 09:31,90,Watr Dept,5,No,19.213281,72.881807,0.9
C1102,A2,Trafic,Center idea when indicate similar why population move compare.,Critcal,08-09-2025 21:28,50,Road Dept,5,No,19.023783,72.983425,0.78
C1103,A1,Pothl,Return stage speech when common accept add city skill actually company already.,Med,10-12-2025 10:34,45,,3,Yes,19.141959,72.928413,0.38
C1104,D1,Pothl,Yard manage place side character walk style standard work left admit say sister relate.,Med,13-05-2025 08:26,51,Watr Dept,3,Yes,19.146821,73.061214,0.49
C1105,C1,Stret Light,Charge small degree party form word campaign note drug above compare amount fund special.,Hi,27-05-2025 23:07,24,Road Dept,2,Yes,19.237847,72.852214,0.76
C1106,C1,Trafic,Seven prevent couple total start teach meeting other.,Critcal,03-05-2025 01:19,99,Elect Dept,4,Yes,19.261189,72.973127,0.35
C1107,B2,Trafic,Hope prepare such buy conference drive some guess laugh agree soon save present without administration.,Hi,11-05-2025 09:15,119,Clean Dept,3,No,19.029457,73.008744,0.65
C1108,A2,Pothl,At sense become design him start glass treatment everybody way again seven.,Med,15-05-2025 06:07,9,Clean Dept,3,Yes,19.197096,72.916259,0.44
C1109,A2,WiFiIssu,Task personal job record expert lose consider discover then Congress hard easy car on ago land.,Med,20-03-2025 04:17,18,Clean Dept,2,No,19.044412,73.089244,0.58
C1110,B1,Garbge,National hotel attack two share reach perhaps simply.,Hi,07-11-2025 07:09,35,SmartWifiDept,1,Yes,19.061153,72.897921,0.92
C1111,C1,Pollutn,Enjoy kind professional reach specific source door service agent computer read southern administration.,,12-11-2025 18:50,89,SmartWifiDept,4,No,19.180579,72.992018,0.24
C1112,D2,Stret Light,Central reality save officer success at while relationship dream hope side.,Lo,25-11-2025 16:16,78,Elect Dept,2,No,19.184721,73.008919,0.09
C1113,D1,Trafic,Tell explain film decade behind close along Democrat.,Hi,20-02-2025 16:36,,SmartWifiDept,2,Yes,19.042429,72.831324,0.72
C1114,B1,Trafic,Responsibility the scientist serve baby career him beautiful until should natural step.,Critcal,06-03-2025 01:04,999,Elect Dept,3,No,19.030377,72.935864,0.72
C1115,C2,Trafic,Star stand audience affect head strategy certainly rise hospital happen reason ball sort lead.,Hi,18-01-2025 17:23,,,1,No,19.270935,73.059874,0.78
C1116,B1,Watr,Reach series citizen entire control child subject treat popular well fill know drive at its force.,Critcal,13-04-2025 22:25,97,Clean Dept,4,Yes,19.243237,72.803152,0.89
C1117,D1,WiFiIssu,Green wonder on answer decide ago drive whose hair during executive beyond whom remain whatever can.,Med,16-11-2025 17:57,84,SmartWifiDept,,Yes,19.078744,72.802594,0.67
C1118,A1,WiFiIssu,Ever street data effort account mission strong course begin.,Med,17-04-2025 16:22,117,,3,No,19.070232,73.048099,0.35
C1119,C1,Stret Light,Bar center exist far enjoy remain describe court.,Lo,27-03-2025 08:28,,Clean Dept,3,Yes,19.171732,72.892409,0.96
C1120,A2,Pollutn,Tell central possible reveal kid be base where watch article base just lose.,Med,06-11-2025 07:08,15,Watr Dept,5,No,19.251259,72.890275,0.33
C1121,D2,Pothl,Young apply rule fact talk agreement situation develop see water beat.,Hi,27-11-2025 16:19,52,Watr Dept,3,No,19.219674,72.817831,0.37
C1122,C1,Stret Light,Race drop property television stop bed show dream police together.,Med,21-10-2025 06:55,108,Clean Dept,,No,19.073379,72.923744,0.89
C1123,A2,Watr,Three activity prepare true become perform carry admit.,Critcal,17-07-2025 20:39,42,Clean Dept,4,No,19.290911,73.066269,0.95
C1124,B1,Pothl,Amount next friend health call spend challenge maintain five social majority also.,Med,04-03-2025 20:38,116,Watr Dept,2,Yes,19.098386,73.00208,0.88
C1125,B2,WiFiIssu,Former government since simple write treatment scene.,Hi,02-09-2025 08:23,37,Watr Dept,3,Yes,19.085921,73.059247,0.64
C1126,A1,WiFiIssu,Deal room decision five behavior collection list simply hospital day catch three building than.,Critcal,07-12-2025 03:33,44,Watr Dept,3,No,19.183506,72.912313,0.87
C1127,A2,Pothl,Born job fund center quite land water consumer should.,Critcal,21-03-2025 23:38,76,Clean Dept,5,Yes,19.1406,73.09953,0.65
C1128,B1,Pothl,Anything wish station citizen market guy as suddenly.,Hi,02-01-2025 09:14,21,Elect Dept,,Yes,19.139365,72.837884,0.98
C1129,C1,Stret Light,Structure single future heavy economy finally seat need behind traditional away culture foreign human.,Lo,01-05-2025 19:58,72,SmartWifiDept,3,Yes,19.115078,72.9587,0.17
C1130,C2,WiFiIssu,Same help artist attorney toward finish fish discuss.,Critcal,18-02-2025 11:42,70,Watr Dept,,Yes,19.006761,73.058935,0.57
C1131,B2,Watr,Debate south economy while agent production again hold media significant be both social one goal official.,Lo,21-04-2025 05:50,99,Watr Dept,4,Yes,19.144282,72.813925,0.93
C1132,A1,Pollutn,Firm appear air behind ago along sign option.,Med,11-01-2025 05:59,82,Watr Dept,1,Yes,19.179474,73.052286,0.31
C1133,A1,Stret Light,Find station ever kitchen feeling child capital.,Critcal,07-11-2025 03:48,37,Elect Dept,,No,19.254843,72.991713,0.89
C1134,B1,Watr,Economy figure some court power view red smile bill past.,Lo,13-11-2025 20:58,120,Clean Dept,,No,19.016505,72.800828,0.37
C1135,C1,Trafic,Low benefit season move growth about establish although put my be speech computer risk military.,Hi,28-09-2025 18:57,111,SmartWifiDept,5,Yes,19.254034,73.087489,0.51
C1136,D1,Watr,Apply director effect talk near least many might.,Lo,23-06-2025 09:50,26,Clean Dept,3,No,19.125445,73.02178,0.99
C1137,A2,Trafic,Next project play work range ground represent subject crime challenge next media approach process into.,Hi,06-05-2025 03:03,14,,2,Yes,19.025347,72.808191,0.77
C1138,A2,WiFiIssu,Above clearly method note respond page experience look turn few huge including low fill return.,Med,27-02-2025 07:50,9,Watr Dept,5,No,19.278925,72.94888,0.76
C1139,B1,Pothl,Full seat yet would usually activity she later contain after wonder baby throw movement each.,Critcal,02-12-2025 19:47,78,Elect Dept,,Yes,19.097185,72.854412,0.09
C1140,B1,Trafic,List first within option old eight member space authority back decide spring only history kitchen behavior.,Hi,28-08-2025 13:24,34,Clean Dept,5,No,19.172859,72.839806,0.72
C1141,B1,Garbge,Star interesting drop very couple per I performance remember sell player social interesting.,Critcal,12-09-2025 01:06,999,Watr Dept,1,Yes,19.005036,72.881849,0.66
C1142,A2,Stret Light,Experience three also Democrat theory bar yard cup growth item if.,Med,02-12-2025 22:38,38,Watr Dept,,No,19.116471,72.870552,0.87
C1143,A1,Watr,Field military feeling sister meet cost will least.,Lo,13-08-2025 20:32,90,SmartWifiDept,2,Yes,19.080135,72.846285,0.71
C1144,D2,Trafic,Music result reach short part still particularly or method production past new.,Med,23-11-2025 16:32,57,Road Dept,2,Yes,19.012932,72.935534,0.3
C1145,A1,Stret Light,Machine business activity friend student else activity I better kid.,Critcal,18-10-2025 15:46,63,,5,No,19.244941,72.823473,0.4
C1146,B1,Pollutn,Just care owner policy each senior by continue performance.,Med,28-07-2025 23:22,111,SmartWifiDept,4,No,19.114285,73.008204,0.87
C1147,D2,Watr,Future stay already media education it thus bar commercial exist production us gas food information.,Hi,22-06-2025 02:26,50,Elect Dept,4,No,19.285118,72.891502,0.14
C1148,B1,Trafic,Speak special which accept process increase card instead worry listen address anything new ability.,Critcal,25-10-2025 20:56,116,,4,No,19.176788,72.935093,0.45
C1149,B1,Watr,Figure future this cell common special certainly he official better we recently yes white.,Lo,01-01-2025 14:24,22,Clean Dept,1,Yes,19.118738,73.051577,0.92
C1150,B1,Trafic,Kid understand same again herself cause simply site particularly.,Lo,14-06-2025 10:40,30,Elect Dept,3,Yes,19.288432,73.052739,0.61
C1151,A2,Pollutn,Identify everyone determine really own series if identify point very information let important low yourself.,Critcal,18-02-2025 11:41,114,Clean Dept,,Yes,19.096605,72.828771,0.75
C1152,C2,WiFiIssu,Green father suggest human factor Democrat size take stand natural less will.,Med,11-10-2025 16:03,32,Road Dept,1,No,19.031284,72.982475,0.86
C1153,C1,Stret Light,Country away wish shoulder debate try find great night look kind western listen even whom.,Critcal,05-09-2025 02:48,85,SmartWifiDept,4,Yes,19.27623,72.875617,0.94
C1154,B2,Trafic,Power ability design speech strong about law too spend you field.,Hi,17-03-2025 10:56,87,Elect Dept,1,Yes,19.254909,72.899471,0.44
C1155,C2,Garbge,Role line now say number live arm yourself she keep response continue article affect watch.,,11-08-2025 20:43,5,Watr Dept,4,No,19.129857,72.896717,0.85
C1156,C2,Pothl,Strong tonight note ago his institution everything one window actually me large.,Critcal,25-11-2025 13:53,,SmartWifiDept,1,No,19.2,73.090197,0.92
C1157,B2,Pollutn,Vote a all agency thousand live against all.,Med,29-09-2025 06:17,26,,,Yes,19.05123,72.986223,0.8
C1158,A2,Trafic,Training have expect yourself imagine season step challenge standard why red eight that.,,21-01-2025 15:40,19,Watr Dept,5,No,19.104405,73.026986,0.35
C1159,A2,Trafic,Sign draw establish career school admit think factor such activity field car.,Critcal,05-11-2025 05:40,79,Road Dept,5,No,19.142791,72.995556,0.44
C1160,A1,Pothl,Listen employee watch expect determine person agency become.,Med,20-04-2025 15:47,,Road Dept,4,Yes,19.161544,73.092939,0.09
C1161,D1,Trafic,Director street relate available else compare thing find too water great.,Lo,30-07-2025 08:43,48,Clean Dept,4,No,19.093082,72.947337,0.88
C1162,A1,Watr,Season hotel skin until them too chance management owner western respond finally huge involve necessary.,Hi,11-02-2025 00:58,,Watr Dept,1,Yes,19.270005,72.900057,0.45
C1163,C2,Trafic,Direction determine agent class war heavy important color him industry white.,Med,18-04-2025 16:30,6,Clean Dept,3,No,19.249301,72.946769,0.18
C1164,B2,Watr,Soldier point score art true section focus eight decision because get activity.,Critcal,10-05-2025 14:56,65,Elect Dept,5,Yes,19.28148,72.996879,0.51
C1165,D1,Pothl,Light white eye themselves everybody as lose low dream.,Lo,29-05-2025 02:34,11,Clean Dept,5,Yes,19.008816,73.009986,0.03
C1166,D1,Pollutn,Sound bag lot such pass sister represent space wait check.,Med,09-09-2025 20:18,40,Watr Dept,5,Yes,19.123779,72.9208,0.72
C1167,B2,Watr,Particularly traditional understand technology past side voice lose officer future institution gun as accept art.,Lo,24-01-2025 01:26,105,Watr Dept,1,Yes,19.265047,73.016013,0.46
C1168,A2,Stret Light,Catch lose task poor feel whom list job month hold not.,Critcal,24-08-2025 22:20,48,SmartWifiDept,2,Yes,19.20403,72.934438,0.04
C1169,C1,WiFiIssu,More science need deep yet food simple tell use executive.,Hi,21-06-2025 15:18,105,Watr Dept,2,No,19.01534,73.052239,0.73
C1170,B2,WiFiIssu,Democrat once city skill can last to.,Critcal,28-06-2025 10:39,62,Elect Dept,5,No,19.121883,72.993187,0.58
C1171,A1,Trafic,Mouth draw animal major successful program part wall indeed time.,Critcal,08-03-2025 13:12,60,SmartWifiDept,3,Yes,19.194985,73.092449,0.72
C1172,A1,Pothl,Son remember fish order good doctor order already opportunity picture.,Hi,11-01-2025 05:09,13,Clean Dept,1,No,19.25041,72.864226,0.86
C1173,B1,Pollutn,Stuff receive pressure member already administration space choose social spend civil.,Lo,17-01-2025 20:23,56,,5,No,19.112834,72.82714,0.7
C1174,A2,Pothl,Wall however film subject together investment simple hard senior go long main population.,Critcal,21-10-2025 01:45,105,Clean Dept,2,No,19.149981,72.954517,0.8
C1175,D2,Trafic,Early someone thus fund person way participant move defense week.,Hi,02-03-2025 18:52,105,Clean Dept,1,Yes,19.09764,72.825723,0.17
C1176,A2,Watr,Claim beautiful occur same meeting central stuff couple cost improve.,Hi,19-05-2025 08:26,80,Clean Dept,5,Yes,19.192729,72.914185,0.97
C1177,C1,Pollutn,Appear leave put pay knowledge meeting likely stuff which pick rise since.,Lo,30-06-2025 21:40,84,Elect Dept,2,Yes,19.011944,72.961415,0.47
C1178,C1,Pollutn,Three hit speech especially sea get along mind laugh three.,Med,28-09-2025 21:35,10,Watr Dept,4,No,19.22077,73.075299,0.58
C1179,D1,Garbge,Require building end interest girl theory director feel daughter American deep wife for form.,Hi,05-01-2025 06:42,109,Clean Dept,5,No,19.269208,72.853003,0.04
